drug,content
CHEMBL1200692,"CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1_|_UQGKUQLKSCSZGY-UHFFFAOYSA-N_|_Small molecule_|_True_|_OLMESARTAN MEDOXOMIL_|_2002.0_|_4.0_|_nan_|_False_|_True_|_['Benicar' 'Olmesartan medoxomil' 'Olmetec']_|_['CS-866' 'NSC-758924' 'Olmesartan medoxomil']_|_[('DailyMed', array(['olmesartan%20medoxomil'], dtype=object)), ('PubChem', array(['144204998', '26748978'], dtype=object))]_|_nan_|_{'rows': array(['MONDO_0002462', 'EFO_0000401', 'EFO_0000712', 'EFO_0000400',
       'EFO_0000319', 'EFO_0003086', 'EFO_0000537', 'MONDO_0001134',
       'EFO_0000612', 'EFO_0003144', 'EFO_0003914', 'HP_0000093'],
      dtype=object), 'count': 12}_|_[ENSG00000144891]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2002 and has 6 approved and 6 investigational indications. This drug has a black box warning from the FDA."
CHEMBL1743083,"nan_|_nan_|_Antibody_|_False_|_TREGALIZUMAB_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['BT-061' 'Tregalizumab']_|_nan_|_nan_|_{'rows': array(['EFO_1001494', 'EFO_0000685'], dtype=object), 'count': 2}_|_[ENSG00000010610]_|_Antibody drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications."
CHEMBL1763,"NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O_|_DMDGGSIALPNSEE-UHFFFAOYSA-N_|_Small molecule_|_False_|_HYDROFLUMETHIAZIDE_|_1959.0_|_4.0_|_nan_|_False_|_True_|_['Diucardin' 'Hydrenox' 'Hydroflumethiazide' 'Saluron']_|_['Hydroflumethiazide' 'NSC-44627']_|_[('PubChem', array(['11112295', '144203973', '170465082', '26747027', '56422879',
       '855883'], dtype=object)), ('Wikipedia', array(['Hydroflumethiazide'], dtype=object)), ('drugbank', array(['DB00774'], dtype=object)), ('chEBI', array(['5784'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000319'], dtype=object), 'count': 1}_|_[ENSG00000070915]_|_Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1959 and is indicated for cardiovascular disease."
CHEMBL207538,"CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C_|_AURFZBICLPNKBZ-SYBPFIFISA-N_|_Small molecule_|_True_|_BREXANOLONE_|_2019.0_|_4.0_|_nan_|_False_|_True_|_['Zulresso']_|_['Allopregnan-3.alpha.-ol-20-one' 'Allopregnanolone'
 'Allotetrahydroprogesterone' 'Brexanolone' 'SAGE-547' 'SGE-102']_|_[('DailyMed', array(['brexanolone'], dtype=object)), ('PubChem', array(['144205595', '26756639'], dtype=object)), ('drugbank', array(['DB11859'], dtype=object)), ('chEBI', array(['50169'], dtype=object))]_|_nan_|_{'rows': array(['MONDO_0004975', 'EFO_0007453', 'MONDO_0002050', 'MONDO_0043510',
       'HP_0000360', 'EFO_0008526', 'EFO_0005407', 'EFO_0003108',
       'EFO_0001358', 'MONDO_0007079', 'MONDO_0002009'], dtype=object), 'count': 11}_|_[ENSG00000022355,ENSG00000145864,ENSG00000113327,ENSG00000166206,ENSG00000109158,ENSG00000182256,ENSG00000268089,ENSG00000011677,ENSG00000094755,ENSG00000187730,ENSG00000163285,ENSG00000163288,ENSG00000102287,ENSG00000151834,ENSG00000186297,ENSG00000145863]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2019 and has 3 approved and 8 investigational indications. This drug has a black box warning from the FDA."
CHEMBL2106829,"Cc1ccccc1-n1c(C)nc2ccccc2c1=O.Cl_|_KJUHIXIWKSVBKB-UHFFFAOYSA-N_|_Small molecule_|_False_|_METHAQUALONE HYDROCHLORIDE_|_nan_|_4.0_|_CHEMBL282052_|_True_|_True_|_[]_|_['Methaqualone hcl' 'Methaqualone hydrochloride' 'NSC-75892']_|_nan_|_nan_|_nan_|_[ENSG00000022355,ENSG00000145864,ENSG00000113327,ENSG00000166206,ENSG00000109158,ENSG00000182256,ENSG00000268089,ENSG00000011677,ENSG00000094755,ENSG00000187730,ENSG00000163285,ENSG00000163288,ENSG00000102287,ENSG00000151834,ENSG00000186297,ENSG00000145863]_|_Small molecule drug with a maximum clinical trial phase of IV. It was withdrawn in at least one region."
CHEMBL2108326,"nan_|_nan_|_Oligonucleotide_|_False_|_ALICAFORSEN_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['Alicaforsen']_|_nan_|_nan_|_{'rows': array(['EFO_0003767', 'EFO_0000729', 'EFO_0000384', 'EFO_0003921'],
      dtype=object), 'count': 4}_|_[ENSG00000090339]_|_Oligonucleotide drug with a maximum clinical trial phase of III (across all indications) and has 4 investigational indications."
CHEMBL2218893,"CN(C)C(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1ccc(O)c(CCO)c1)CC2.CN(C)C(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1ccc(O)c(CCO)c1)CC2.O=S(=O)(O)O_|_VPCOODFYDJWLHD-YMZXMBPUSA-N_|_Small molecule_|_False_|_BEDORADRINE SULFATE_|_nan_|_2.0_|_CHEMBL2111083_|_False_|_False_|_[]_|_['Bedoradrine sulfate' 'Bedoradrine sulphate' 'KUR-1246' 'MN-221']_|_nan_|_nan_|_{'rows': array(['MONDO_0004979', 'EFO_0000341', 'EFO_0008590'], dtype=object), 'count': 3}_|_[ENSG00000169252]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications."
CHEMBL2368861,"CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5.Cl_|_UAIXRPCCYXNJMQ-HPRIMLMLSA-N_|_Small molecule_|_True_|_BUPRENORPHINE HYDROCHLORIDE_|_1981.0_|_4.0_|_CHEMBL511142_|_False_|_True_|_['Belbuca' 'Buprenex' 'Buprenorphine hydrochloride' 'Espranor' 'Gabup'
 'Natzon' 'Prefibin' 'Probuphine' 'Sixmo' 'Subutex']_|_['Anorfin' 'Buprederm' 'Buprenorphine hcl' 'Buprenorphine hydrochloride'
 'Buprenorphine hydrochloride ciii' 'Buprex' 'CL 112,302' 'CL-112302'
 'Finibron' 'Lepetan' 'M-6029' 'NIH 8805' 'NIH-8805' 'Nopan'
 'RX 6029-M HCL' 'RX-6029-M HCL' 'SCH-028444' 'UM 952' 'UM-952'
 'Vetergesic']_|_[('DailyMed', array(['buprenorphine%20hydrochloride'], dtype=object)), ('EMA', array(['https://www.ema.europa.eu/en/medicines/human/EPAR/sixmo'],
      dtype=object))]_|_nan_|_{'rows': array(['EFO_0005611', 'EFO_0003890'], dtype=object), 'count': 2}_|_[ENSG00000082556,ENSG00000112038]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1981 and is indicated for opioid dependence and drug dependence. This drug has a black box warning from the FDA."
CHEMBL3542265,"CC(C)OC(=O)N[C@H]1Cc2c(n(Cc3ccccn3)c3ccc(C#N)cc23)C1_|_IHIWYQYVBNODSV-KRWDZBQOSA-N_|_Small molecule_|_False_|_LY2452473_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['LY-2452473' 'LY2452473' 'Ly2452473' 'OPK-88004' 'TT-701']_|_[('drugbank', array(['DB12573'], dtype=object))]_|_['CHEMBL3542296']_|_{'rows': array(['MONDO_0008315', 'EFO_0004234', 'EFO_0000284'], dtype=object), 'count': 3}_|_[ENSG00000169083]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications."
CHEMBL376897,"C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12_|_LZCOQTDXKCNBEE-IKIFYQGPSA-N_|_Small molecule_|_False_|_METHSCOPOLAMINE_|_1953.0_|_4.0_|_nan_|_False_|_True_|_[]_|_['(-)-n-methylscopolamine' 'Methscopolamine cation' 'Methscopolamine ion'
 'Methylscopolamine' 'N-methylhyoscine' 'N-methylscopolamine']_|_[('Wikipedia', array(['Methylscopolamine_bromide'], dtype=object)), ('drugbank', array(['DB11315'], dtype=object))]_|_['CHEMBL1506225' 'CHEMBL1354199']_|_{'rows': array(['EFO_0010282'], dtype=object), 'count': 1}_|_[ENSG00000168539,ENSG00000133019]_|_Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1953 and is indicated for gastrointestinal disease."
CHEMBL4298195,"nan_|_nan_|_Antibody_|_False_|_NARSOPLIMAB_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['Masp-2 antibody' 'Narsoplimab' 'OMS-721' 'OMS00620646' 'OMS620646'
 'OMS721']_|_[('USAN', array(['https://searchusan.ama-assn.org/finder/usan/search/NARSOPLIMAB/relevant/1/'],
      dtype=object))]_|_nan_|_{'rows': array(['MONDO_0016244', 'EFO_0005761', 'MONDO_0100096', 'EFO_0004194'],
      dtype=object), 'count': 4}_|_[ENSG00000009724]_|_Antibody drug with a maximum clinical trial phase of III (across all indications) and has 4 investigational indications."
CHEMBL504652,"c1cncc(N2CCC3(CCCN3)C2)c1_|_NXIPMBQVNTWEEX-UHFFFAOYSA-N_|_Small molecule_|_False_|_TC-2216_|_nan_|_1.0_|_nan_|_False_|_False_|_[]_|_['TC-2216' 'Tc-2216']_|_nan_|_nan_|_{'rows': array(['MONDO_0002050', 'EFO_0005230'], dtype=object), 'count': 2}_|_[ENSG00000160716,ENSG00000101204]_|_Small molecule drug with a maximum clinical trial phase of I (across all indications) and has 2 investigational indications."
CHEMBL598172,"COc1ccc(NC(=O)Nc2ccc(F)cc2F)cc1-c1c(Br)cnn1C_|_COSPVUFTLGQDQL-UHFFFAOYSA-N_|_Small molecule_|_False_|_NELOTANSERIN_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['APD-125' 'APD125' 'Apd-125' 'Nelotanserin']_|_[('drugbank', array(['DB12555'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0004698', 'HP_0000738', 'EFO_0006792'], dtype=object), 'count': 3}_|_[ENSG00000102468]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications."
CHEMBL95,"Nc1c2c(nc3ccccc13)CCCC2_|_YLJREFDVOIBQDA-UHFFFAOYSA-N_|_Small molecule_|_False_|_TACRINE_|_1993.0_|_4.0_|_nan_|_False_|_True_|_[]_|_['Tacrinal' 'Tacrine']_|_[('PubChem', array(['104171104', '11110734', '11113824', '124879172', '124879174',
       '144203624', '144212594', '170465420', '26755281', '90341647'],
      dtype=object)), ('TG-GATEs', array(['60'], dtype=object)), ('Wikipedia', array(['Tacrine'], dtype=object)), ('drugbank', array(['DB00382'], dtype=object)), ('chEBI', array(['45980'], dtype=object))]_|_['CHEMBL1677' 'CHEMBL1337960']_|_{'rows': array(['EFO_0002610', 'HP_0000726'], dtype=object), 'count': 2}_|_[ENSG00000114200,ENSG00000087085]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1993 and is indicated for dementia and has 1 investigational indication."
CHEMBL1200379,"Cl.Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1_|_OTQYGBJVDRBCHC-UHFFFAOYSA-N_|_Small molecule_|_False_|_APRACLONIDINE HYDROCHLORIDE_|_1987.0_|_4.0_|_CHEMBL647_|_False_|_True_|_['Apraclonidine hydrochloride' 'Iopidine']_|_['AL-02145' 'AL02145' 'Aplonidine hydrochloride' 'Apraclonidine hcl'
 'Apraclonidine hydrochloride']_|_[('DailyMed', array(['apraclonidine%20hydrochloride'], dtype=object)), ('PubChem', array(['144204758', '50105753'], dtype=object)), ('chEBI', array(['2789'], dtype=object))]_|_nan_|_nan_|_[ENSG00000150594,ENSG00000184160,ENSG00000274286]_|_Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1987."
CHEMBL1201203,"CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2_|_GIJXKZJWITVLHI-PMOLBWCYSA-N_|_Small molecule_|_False_|_BENZTROPINE_|_1954.0_|_4.0_|_nan_|_False_|_True_|_[]_|_['Benzatropine' 'Benztropine' 'Cobrentin' 'NK-02']_|_[('PubChem', array(['144204856', '144205248', '29215426'], dtype=object)), ('Wikipedia', array(['Benzatropine'], dtype=object)), ('drugbank', array(['DB00245'], dtype=object)), ('chEBI', array(['3048'], dtype=object))]_|_['CHEMBL1200383']_|_{'rows': array(['EFO_0005279', 'EFO_0002610', 'HP_0003418', 'MONDO_0005180',
       'MONDO_0005180', 'HP_0011868', 'EFO_0009387'], dtype=object), 'count': 7}_|_[ENSG00000168539]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1954 and is indicated for parkinson disease and has 5 investigational indications."
CHEMBL1233528,"CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C_|_SXNJFOWDRLKDSF-STROYTFGSA-N_|_Small molecule_|_False_|_VOLASERTIB_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['BI 6727' 'BI-6727' 'BI6727' 'Bi-6727' 'Volasertib']_|_[('drugbank', array(['DB12062'], dtype=object))]_|_['CHEMBL2105742']_|_{'rows': array(['EFO_0000221', 'EFO_1001257', 'EFO_0003060', 'EFO_0002913',
       'EFO_0000198', 'EFO_0000574', 'EFO_0000616', 'EFO_0003893',
       'EFO_0000565', 'EFO_0000222', 'MONDO_0000430'], dtype=object), 'count': 11}_|_[ENSG00000166851]_|_Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 11 investigational indications."
CHEMBL1451,"C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F_|_GFNANZIMVAIWHM-OBYCQNJPSA-N_|_Small molecule_|_False_|_TRIAMCINOLONE_|_1957.0_|_4.0_|_nan_|_False_|_True_|_['Aristocort' 'Aristocort A' 'Delphicort' 'Kenacort' 'Kenalog'
 'Triamcinolone' 'Volon']_|_['Fluoxiprednisolone' 'NSC-13397' 'Triamcinolone']_|_[('PubChem', array(['144204885', '144210498', '170465188', '26751455', '47193900',
       '50103941', '50103942', '77851', '855586', '90341396'],
      dtype=object)), ('Wikipedia', array(['Triamcinolone'], dtype=object)), ('drugbank', array(['DB00620'], dtype=object)), ('chEBI', array(['9667'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0005762', 'EFO_0000274', 'EFO_0007486', 'EFO_1000391',
       'EFO_0005752', 'HP_0002027', 'EFO_0005854', 'MONDO_0005178',
       'EFO_1000786', 'HP_0001742', 'HP_0006536', 'EFO_1000662',
       'EFO_1001157', 'EFO_1001492', 'EFO_1000879', 'MONDO_0003005',
       'MONDO_0002959', 'EFO_0000701', 'EFO_0004683', 'EFO_0003843',
       'EFO_0001365', 'EFO_0004208', 'EFO_1001250', 'EFO_0004212',
       'EFO_0004264', 'EFO_0003963', 'HP_0030834', 'EFO_0009552',
       'EFO_0004616', 'EFO_1001417', 'EFO_0000342', 'EFO_1001077',
       'EFO_0000341', 'EFO_1000809', 'EFO_0000676', 'EFO_0008517',
       'EFO_0003770', 'EFO_0000756', 'EFO_0004192'], dtype=object), 'count': 39}_|_[ENSG00000113580]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1957 and has 5 approved and 34 investigational indications."
CHEMBL1516474,"CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12.O=C(O)/C=C\C(=O)O_|_CPDDZSSEAVLMRY-FEQFWAPWSA-N_|_Small molecule_|_False_|_TEGASEROD MALEATE_|_2002.0_|_4.0_|_CHEMBL76370_|_True_|_True_|_['Zelmac' 'Zelnorm']_|_['HTF 919' 'HTF-919' 'NSC-760425' 'Tegaserod maleate']_|_[('DailyMed', array(['tegaserod%20maleate'], dtype=object)), ('PubChem', array(['26748994'], dtype=object)), ('chEBI', array(['51044'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000555', 'MONDO_0002203'], dtype=object), 'count': 2}_|_[ENSG00000164270]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2002 and is indicated for irritable bowel syndrome and constipation disorder. It was withdrawn in at least one region."
CHEMBL1574,"CC(C)(N)Cc1ccccc1_|_DHHVAGZRUROJKS-UHFFFAOYSA-N_|_Small molecule_|_False_|_PHENTERMINE_|_1959.0_|_4.0_|_nan_|_False_|_True_|_['Duromine' 'Ionamin' 'Phentermine resin 30' 'Phentermine resin complex']_|_['NSC-759163' 'Phentermine' 'Phentermine resin' 'Qsiva']_|_[('Wikipedia', array(['Phentermine'], dtype=object)), ('drugbank', array(['DB00191'], dtype=object)), ('chEBI', array(['8080'], dtype=object))]_|_['CHEMBL1200912']_|_{'rows': array(['EFO_0001074', 'EFO_0003890', 'EFO_0001073', 'EFO_0005204',
       'EFO_0001421', 'EFO_0003086', 'EFO_0000400', 'EFO_0001073'],
      dtype=object), 'count': 8}_|_[ENSG00000103546]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1959 and is indicated for obesity and has 6 investigational indications."
CHEMBL1873475,"C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1_|_XYFPWWZEPKGCCK-GOSISDBHSA-N_|_Small molecule_|_False_|_IBRUTINIB_|_2013.0_|_4.0_|_nan_|_False_|_True_|_['Imbruvica']_|_['CRA-032765' 'Ibrutinib' 'PC-32765' 'PCI 32765' 'PCI-32765'
 'PCI-32765-00']_|_[('DailyMed', array(['ibrutinib'], dtype=object)), ('EMA', array(['https://www.ema.europa.eu/en/medicines/human/EPAR/imbruvica'],
      dtype=object)), ('PubChem', array(['124898784'], dtype=object)), ('drugbank', array(['DB09053'], dtype=object)), ('chEBI', array(['76612'], dtype=object))]_|_nan_|_{'rows': array(['EFO_1001469', 'MONDO_0100096', 'EFO_0000183', 'EFO_0007359',
       'EFO_0001421', 'EFO_1000560', 'EFO_0000403', 'MONDO_0007576',
       'MONDO_0021063', 'EFO_0000220', 'EFO_0000096', 'EFO_1001890',
       'EFO_0000222', 'EFO_0001642', 'EFO_0005952', 'EFO_0003060',
       'MONDO_0007254', 'EFO_1001264', 'EFO_0001378', 'MONDO_0044881',
       'EFO_0000181', 'EFO_1000630', 'EFO_0000574', 'EFO_0000616',
       'EFO_0000389', 'EFO_0000198', 'EFO_0009441', 'EFO_0004243',
       'MONDO_0008903', 'MONDO_0001023', 'MONDO_0100053', 'EFO_0000309',
       'MONDO_0009348', 'EFO_0004289', 'EFO_0000519', 'MONDO_0008315',
       'EFO_0002617', 'EFO_0000095', 'MONDO_0020547', 'EFO_0002616',
       'MONDO_0018906', 'EFO_1001875', 'MONDO_0004992', 'MONDO_0013730',
       'EFO_0000565', 'EFO_1001951', 'EFO_1000956', 'EFO_0000681'],
      dtype=object), 'count': 48}_|_[ENSG00000010671]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2013 and has 6 approved and 42 investigational indications."
CHEMBL2105667,"Cc1cc(F)ccc1[C@H]1C[C@@H](N2CCN3C(=O)CC[C@H]3C2)CCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1_|_XWNBGDJPEXZSQM-VZOBGQTKSA-N_|_Small molecule_|_False_|_ORVEPITANT_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['GW-823296X' 'GW823296X' 'Gw-823296' 'Gw823296' 'Orvepitant']_|_[('drugbank', array(['DB12427'], dtype=object))]_|_['CHEMBL2105668']_|_{'rows': array(['MONDO_0002009', 'HP_0012735', 'MONDO_0002050', 'EFO_0001358'],
      dtype=object), 'count': 4}_|_[ENSG00000115353]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 4 investigational indications."
CHEMBL2109084,"nan_|_nan_|_Enzyme_|_False_|_DESMOTEPLASE_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['Desmoteplase' 'Dspa desmoteplase' 'RDSPA ALPHA 1']_|_nan_|_nan_|_{'rows': array(['EFO_0000712', 'HP_0002140'], dtype=object), 'count': 2}_|_[ENSG00000122194]_|_Enzyme drug with a maximum clinical trial phase of III (across all indications) and has 2 investigational indications."
CHEMBL2146146,"CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O_|_VJFQPODMEGSXHC-RIMUKSHESA-N_|_Small molecule_|_False_|_ATROPINE SULFATE_|_1960.0_|_4.0_|_CHEMBL517712_|_False_|_True_|_['Atropine' 'Atropine sulfate' 'Atropine sulfate ansyr plastic syringe'
 'Atropine sulfate lifeshield abboject syringe' 'Isopto atropine']_|_['Atropine sulfate' 'Atropine sulfate anhydrous'
 'Atropine sulfate hydrate' 'Atropine sulfate monohydrate'
 'Atropine sulphate' 'Atropini sulfas' 'Atropinum sulphuricum' 'Atropt'
 'NSC-26671' 'NSC-755889' 'SYD-101']_|_[('DailyMed', array(['atropine%20sulfate'], dtype=object))]_|_nan_|_{'rows': array(['HP_0000545', 'HP_0004398', 'EFO_0005854', 'EFO_0003956',
       'MONDO_0005180', 'EFO_0010581', 'EFO_0005323', 'HP_0011499'],
      dtype=object), 'count': 8}_|_[ENSG00000168539,ENSG00000181072,ENSG00000133019]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1960 and has 5 approved and 3 investigational indications."
CHEMBL245030,CCOC(=O)c1ccc2[nH]c3c(OC)c4[nH]c5ccc(C(=O)OCC)cc5c4cc3c2c1_|_BMTPVPNVQOYGAP-UHFFFAOYSA-N_|_Small molecule_|_False_|_SR-13668_|_nan_|_1.0_|_nan_|_False_|_False_|_[]_|_['SR-13668' 'SR13668' 'Sr-13668']_|_nan_|_nan_|_nan_|_[ENSG00000142208]_|_Small molecule drug with a maximum clinical trial phase of I.
CHEMBL259972,"COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1_|_DJEIHHYCDCTAAH-UHFFFAOYSA-N_|_Small molecule_|_False_|_MOFEZOLAC_|_1994.0_|_4.0_|_nan_|_False_|_True_|_[]_|_['Mofezolac']_|_[('PubChem', array(['144206111', '50112817'], dtype=object))]_|_nan_|_nan_|_[ENSG00000095303]_|_Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1994."
CHEMBL286738,"NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3_|_DSLPMJSGSBLWRE-UHFFFAOYSA-N_|_Small molecule_|_False_|_IROSUSTAT_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['667 COUMATE' '667-COUMATE' 'BN 83495' 'BN-83495' 'BN83495' 'Irosustat'
 'STX 64' 'STX-64' 'STX64']_|_[('drugbank', array(['DB02292'], dtype=object))]_|_nan_|_{'rows': array(['MONDO_0007254', 'EFO_0003869', 'MONDO_0011962', 'MONDO_0008315'],
      dtype=object), 'count': 4}_|_[ENSG00000101846]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 4 investigational indications."
CHEMBL3544986,"CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC.N=C(N)NCCC[C@H](N)C(=O)O_|_RYCSJJXKEWBUTI-YDYAIEMNSA-N_|_Small molecule_|_False_|_PERINDOPRIL ARGININE_|_2015.0_|_4.0_|_CHEMBL1581_|_False_|_True_|_[]_|_['Perindopril arginine']_|_[('DailyMed', array(['perindopril%20arginine'], dtype=object)), ('chEBI', array(['77655'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000537', 'EFO_0004214'], dtype=object), 'count': 2}_|_[ENSG00000159640]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2015 and is indicated for hypertension and has 1 investigational indication."
CHEMBL3545307,"Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1_|_QHADVLVFMKEIIP-UHFFFAOYSA-N_|_Small molecule_|_False_|_MERESTINIB_|_nan_|_2.0_|_nan_|_False_|_False_|_[]_|_['LY-2801653' 'LY2801653' 'Ly-2801653' 'Merestinib']_|_[('drugbank', array(['DB12381'], dtype=object))]_|_nan_|_{'rows': array(['EFO_0000389', 'MONDO_0003060', 'EFO_0003060', 'EFO_1001469',
       'EFO_0002618', 'EFO_1001951', 'MONDO_0004992', 'MONDO_0007254'],
      dtype=object), 'count': 8}_|_[ENSG00000105976]_|_Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 8 investigational indications."
CHEMBL3545412,"nan_|_nan_|_Small molecule_|_False_|_K-877_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['K-877']_|_nan_|_nan_|_{'rows': array(['EFO_0004211', 'EFO_0003095', 'MONDO_0021187', 'HP_0003124',
       'Orphanet_309005', 'EFO_1001249'], dtype=object), 'count': 6}_|_[ENSG00000186951]_|_Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 6 investigational indications."
CHEMBL3697617,"Cc1cc(Oc2ncccc2C(F)(F)F)ccc1-c1c(C)c(=O)[nH]c(=O)n1C_|_AKQXQLUNFKDZBN-UHFFFAOYSA-N_|_Small molecule_|_False_|_TAVAPADON_|_nan_|_3.0_|_nan_|_False_|_False_|_[]_|_['CVL-751' 'Cvl-751' 'PF-06649751' 'Pf-06649751' 'Tavapadon']_|_[('drugbank', array(['DB14899'], dtype=object))]_|_nan_|_{'rows': array(['MONDO_0005180', 'EFO_0001421', 'EFO_0003086'], dtype=object), 'count': 3}_|_[ENSG00000184845,ENSG00000169676]_|_Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 3 investigational indications."
CHEMBL3989693,"CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.O=C(O)C(O)C(O)C(=O)O_|_VNVNZKCCDVFGAP-NMFAMCKASA-N_|_Small molecule_|_False_|_LEVALBUTEROL TARTRATE_|_2005.0_|_4.0_|_CHEMBL1002_|_False_|_True_|_['Xopenex hfa']_|_['Levalbuterol tartrate' 'Levosalbutamol tartrate']_|_[('DailyMed', array(['levalbuterol%20tartrate'], dtype=object))]_|_nan_|_{'rows': array(['MONDO_0004979'], dtype=object), 'count': 1}_|_[ENSG00000169252]_|_Small molecule drug with a maximum clinical trial phase of IV that was first approved in 2005 and has 1 investigational indication."
CHEMBL3989908,"CC(C)(O)CNc1nc(Nc2ccnc(C(F)(F)F)c2)nc(-c2cccc(C(F)(F)F)n2)n1_|_DYLUUSLLRIQKOE-UHFFFAOYSA-N_|_Small molecule_|_True_|_ENASIDENIB_|_2017.0_|_4.0_|_nan_|_False_|_True_|_[]_|_['AG-221' 'Ag 221' 'CC-90007 Free Base' 'Enasidenib']_|_[('drugbank', array(['DB13874'], dtype=object))]_|_['CHEMBL3989931']_|_{'rows': array(['EFO_0000222', 'EFO_0000565', 'MONDO_0044881', 'EFO_0000616',
       'EFO_1001779', 'EFO_0001378', 'MONDO_0004992', 'EFO_0001421',
       'EFO_0000198', 'EFO_0000222'], dtype=object), 'count': 10}_|_[ENSG00000182054]_|_Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2017 and has 3 approved and 7 investigational indications. This drug has a black box warning from the FDA."
